# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.93,
1.0,6.87,
2.0,6.86,
3.0,6.94,
4.0,6.95,
5.0,6.95,
6.0,6.96,
7.0,7.05,
8.0,8.01,
9.0,8.13,
10.0,7.07,
11.0,8.25,
12.0,7.99,
13.0,6.93,
14.0,7.9,
15.0,7.91,
16.0,6.86,
17.0,8.23,
18.0,6.92,
19.0,6.97,
20.0,8.76,
21.0,6.75,
22.0,7.15,
23.0,8.02,
24.0,6.74,
25.0,7.37,
26.0,7.74,
27.0,6.76,
28.0,7.6,
29.0,7.72,
30.0,6.72,
31.0,7.45,
32.0,7.72,
33.0,6.7,
34.1,7.58,
35.1,7.75,
36.1,6.47,
37.1,7.43,
38.1,7.59,
39.1,6.49,
40.1,7.7,
41.1,7.39,
42.1,6.53,
43.1,7.98,
44.1,6.62,
45.1,6.69,
46.1,8.48,
47.1,6.41,
48.1,6.68,
49.1,8.5,
50.1,6.44,
51.1,6.86,
52.1,7.99,
53.1,6.33,
54.1,6.89,
55.1,7.4,
56.1,6.39,
57.1,7.22,
58.1,7.4,
59.1,6.33,
60.1,7.39,
61.1,7.4,
62.1,6.31,
63.1,7.63,
64.1,6.39,
65.1,6.41,
66.1,8.22,
67.1,6.39,
68.1,6.62,
69.1,8.37,
70.1,6.36,
71.1,6.8,
72.1,7.74,
73.1,6.39,
74.1,7.02,
75.1,7.39,
76.1,6.29,
77.1,6.64,
78.1,6.64,
79.1,6.69,
80.1,6.73,
81.1,6.95,
82.1,6.96,
83.1,7.01,
84.1,7.39,
85.1,7.14,
86.1,7.15,
87.1,7.21,
88.1,7.5,
89.1,7.62,
90.1,7.22,
91.1,7.19,
92.1,7.53,
93.1,7.55,
94.1,7.67,
95.2,7.78,
96.2,7.6,
97.2,7.77,
98.2,6.8,
99.2,7.74,
100.2,7.46,
101.2,6.24,
102.2,4.65,
103.2,4.67,
104.2,5.15,
105.2,5.18,
106.2,5.23,
107.2,5.22,
108.2,5.29,
109.2,5.69,
110.2,7.25,
111.2,5.5,
112.2,6.0,
113.2,7.24,
114.2,5.38,
115.2,6.11,
116.2,6.4,
117.2,5.46,
118.2,6.52,
119.2,6.38,
120.2,5.47,
121.2,7.11,
122.2,5.49,
123.2,5.65,
124.2,7.36,
125.2,5.57,
126.2,6.07,
127.2,6.78,
128.2,5.62,
129.2,6.37,
130.2,6.63,
131.2,5.68,
132.2,6.52,
133.2,6.72,
134.2,5.73,
135.2,6.53,
136.2,6.75,
137.2,5.71,
138.2,6.81,
139.2,6.83,
140.2,5.78,
141.2,6.95,
142.2,6.86,
143.2,5.88,
144.2,7.18,
145.2,5.93,
146.2,5.95,
147.2,7.4,
148.2,6.01,
149.2,6.04,
150.2,7.58,
151.2,5.88,
152.2,6.13,
153.2,7.9,
154.2,5.89,
155.2,6.47,
156.2,7.25,
157.2,6.0,
158.2,6.62,
159.2,7.02,
160.2,6.04,
161.2,6.81,
162.2,7.09,
163.2,6.1,
164.2,7.11,
165.2,7.13,
166.2,6.14,
167.2,7.2,
168.2,7.21,
169.2,6.17,
170.2,7.36,
171.2,6.55,
172.2,6.28,
173.2,7.8,
174.2,6.31,
175.2,6.27,
176.2,7.93,
177.2,6.19,
178.2,6.44,
179.3,6.62,
180.3,6.65,
181.3,6.77,
182.3,6.81,
183.3,6.99,
184.3,6.92,
185.3,6.89,
186.3,6.96,
187.3,7.02,
188.3,7.02,
189.3,7.34,
190.3,7.44,
191.3,6.99,
192.3,7.11,
193.3,7.14,
194.3,7.39,
195.3,7.47,
196.3,7.65,
197.3,7.31,
198.3,7.54,
199.3,7.67,
200.3,6.89,
201.3,7.29,
202.3,7.36,
203.3,6.32,
204.3,6.13,
205.3,6.14,
206.3,6.14,
207.3,6.15,
208.3,6.13,
209.3,6.14,
210.3,6.15,
211.3,6.15,
212.3,6.15,
213.3,6.15,
214.3,6.15,
215.3,6.15,
216.3,6.14,
217.3,6.15,
218.3,6.13,
219.3,6.2,
220.3,6.19,
